,ast,ast_per_g,blk,college,draft_rank,draft_year,end_age,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,height_in,mp,mp_per_g,name,name_index,no_of_seasons,per,pts,pts_per_g,reach_in,start_age,stl,trb_per_g,weight_lb,wingspan_in,salary,position,birthday,shoot,inflation,adjusted_salary,month
10,123.0,1.0,76.0,Providence College,12.0,1997.0,21.0,495.0,147.0,0.34,432.0,0.44,1125.0,386.0,0.843,458.0,121.0,81.0,2858.0,23.6,Austin Croshere,1.0,4.0,14.3,1523.0,12.6,107.89943700027737,18.0,104.0,5.3,220.0,85.79600710486278,1165440.0,Power Forward,1975-05-01,Right,1.5,1748160.0,5.0
11,321.0,3.2,16.0,University of Kentucky,13.0,1997.0,22.0,408.0,91.0,0.364,250.0,0.482,846.0,321.0,0.805,399.0,99.0,75.5,2463.0,24.9,Derek Anderson,1.0,4.0,15.3,1228.0,12.4,100.70930650311685,18.0,186.0,3.8,188.0,80.4400064874775,1107240.0,Shooting Guard and Small Forward and Point Guard,1974-07-18,Right,1.5,1660860.0,7.0
12,113.0,1.2,90.0,University of Michigan,14.0,1997.0,20.0,524.0,5.0,0.313,16.0,0.498,1053.0,201.0,0.642,313.0,97.0,78.41655801825294,2793.0,28.8,Maurice Taylor,1.0,3.0,13.1,1254.0,12.9,104.5220836660855,18.0,61.0,6.1,213.9072762395364,83.25422800222206,1051800.0,Power Forward and Small Forward and Center,1976-10-30,Right,1.5,1577700.0,10.0
13,49.0,0.6,274.0,Iowa State University,15.0,1997.0,22.0,271.0,0.0,0.32657555501870233,1.0,0.498,544.0,177.0,0.584,303.0,79.0,82.5,1931.0,24.4,Kelvin Cato,1.0,3.0,14.4,719.0,9.1,109.86038168132113,19.0,67.0,7.4,241.0,87.25673454596786,999240.0,Center and Power Forward,1974-08-26,Right,1.5,1498860.0,8.0
14,780.0,6.8,13.0,Stanford University,16.0,1997.0,21.0,515.0,93.0,0.336,277.0,0.416,1239.0,591.0,0.7979999999999999,741.0,115.0,69.5,3703.0,32.2,Brevin Knight,1.0,4.0,14.9,1714.0,14.9,92.86552777894178,18.0,298.0,3.8,172.0,74.5970967230572,949320.0,Point Guard,1975-11-08,Right,1.5,1423980.0,11.0
15,155.0,1.9,48.0,University of Tennessee at Chattanooga,17.0,1997.0,22.0,534.0,75.0,0.338,222.0,0.531,1006.0,273.0,0.696,392.0,81.0,78.41655801825294,1869.0,30.1,Johnny Taylor,1.0,3.0,8.7,1416.0,17.5,104.5220836660855,20.0,64.0,7.4,213.9072762395364,83.25422800222206,901880.0,Small Forward,1974-06-04,Right,1.5,1352820.0,6.0
16,59.0,0.5,218.0,University of Kansas,19.0,1997.0,21.0,425.0,1.0,0.32657555501870233,1.0,0.5489999999999999,774.0,358.0,0.669,535.0,128.0,78.41655801825294,2754.0,21.5,Scot Pollard,1.0,4.0,13.8,1209.0,9.4,104.5220836660855,18.0,103.0,6.6,213.9072762395364,83.25422800222206,818160.0,Center,1975-02-12,Right,1.5,1227240.0,2.0
17,46.0,0.4,87.0,University of Wisconsin,20.0,1997.0,23.0,284.0,0.0,0.32657555501870233,2.0,0.498,570.0,160.0,0.6990000000000001,229.0,116.0,78.41655801825294,1949.0,16.8,Paul Grant,1.0,4.0,4.0,728.0,6.3,104.5220836660855,19.0,26.0,3.4,213.9072762395364,83.25422800222206,785400.0,Center,1974-01-06,Right,1.5,1178100.0,1.0
18,355.0,3.2,78.0,Bradley University,21.0,1997.0,21.0,524.0,195.0,0.379,515.0,0.447,1173.0,440.0,0.75,587.0,112.0,78.41655801825294,3603.0,32.2,Anthony Parker,1.0,4.0,12.2,1683.0,15.0,104.5220836660855,18.0,159.0,5.7,213.9072762395364,83.25422800222206,754080.0,Shooting Guard and Small Forward,1975-06-19,Right,1.5,1131120.0,6.0
19,149.0,1.8,18.0,University of California,22.0,1997.0,21.0,519.0,127.0,0.302,421.0,0.422,1230.0,321.0,0.773,415.0,81.0,78.41655801825294,2375.0,29.3,Ed Gray,1.0,3.0,9.6,1486.0,18.3,104.5220836660855,18.0,126.0,3.4,213.9072762395364,83.25422800222206,723840.0,Shooting Guard,1975-09-27,Right,1.5,1085760.0,9.0
20,207.0,3.5,15.0,University of Minnesota,23.0,1997.0,23.0,306.0,59.0,0.307,192.0,0.4270000000000001,716.0,195.0,0.7859999999999999,248.0,60.0,71.0,1784.0,29.7,Bobby Jackson,1.0,2.0,15.2,866.0,14.4,94.82647245998557,22.0,108.0,5.5,184.0,76.05782416416227,694920.0,Point Guard and Shooting Guard,1973-03-13,Right,1.5,1042380.0,3.0
21,379.0,3.1,49.0,University of Southern California,24.0,1997.0,23.0,487.0,128.0,0.339,378.0,0.428,1138.0,457.0,0.721,634.0,124.0,78.41655801825294,3127.0,25.2,Rodrick Rhodes,1.0,4.0,6.7,1559.0,12.6,104.5220836660855,19.0,204.0,3.7,213.9072762395364,83.25422800222206,555900.0,Small Forward and Shooting Guard,1973-09-24,Right,1.5,833850.0,9.0
22,91.0,0.7,65.0,University of Minnesota,25.0,1997.0,21.0,349.0,0.0,0.32657555501870233,1.0,0.496,703.0,187.0,0.536,349.0,124.0,79.5,2572.0,20.7,John Thomas,1.0,4.0,9.4,885.0,7.1,105.93849231923357,18.0,75.0,5.1,260.0,84.3352796637577,640440.0,Center and Power Forward,1975-09-08,Right,1.5,960660.0,9.0
23,358.0,2.8,95.0,University of New Mexico,26.0,1997.0,21.0,737.0,207.0,0.342,605.0,0.449,1640.0,312.0,0.731,427.0,126.0,78.41655801825294,3783.0,30.0,Charles Smith,1.0,4.0,11.5,1993.0,15.8,104.5220836660855,18.0,178.0,4.6,213.9072762395364,83.25422800222206,619200.0,Shooting Guard,1975-08-22,Right,1.5,928800.0,8.0
24,804.0,6.4,15.0,University of Kansas,27.0,1997.0,21.0,384.0,105.0,0.383,274.0,0.459,837.0,334.0,0.708,472.0,126.0,71.0,3807.0,30.2,Jacque Vaughn,1.0,4.0,10.1,1207.0,9.6,94.82647245998557,18.0,160.0,3.0,193.0,76.05782416416227,601320.0,Point Guard and Shooting Guard,1975-02-11,Right,1.5,901980.0,2.0
25,296.0,2.3,73.0,University of Maryland,28.0,1997.0,22.0,589.0,27.0,0.26,104.0,0.456,1291.0,576.0,0.6990000000000001,824.0,126.0,78.41655801825294,3872.0,30.7,Keith Booth,1.0,4.0,7.3,1781.0,14.1,104.5220836660855,19.0,193.0,7.3,213.9072762395364,83.25422800222206,597600.0,Small Forward,1974-10-09,Right,1.5,896400.0,10.0
26,313.0,2.5,118.0,"University of California, Los Angeles",31.0,1997.0,21.0,684.0,73.0,0.343,213.0,0.5379999999999999,1271.0,343.0,0.7509999999999999,457.0,124.0,78.41655801825294,3903.0,31.5,Charles O'Bannon,1.0,4.0,11.7,1784.0,14.4,104.5220836660855,18.0,142.0,6.4,196.0,83.0,320000.0,Shooting Guard,1975-02-22,Right,1.5,480000.0,2.0
27,129.0,1.6,27.0,"California State University, Long Beach",32.0,1997.0,21.0,450.0,156.0,0.369,423.0,0.442,1018.0,396.0,0.8,495.0,80.0,78.41655801825294,2675.0,33.4,James Cotton,1.0,4.0,12.3,1452.0,18.2,104.5220836660855,18.0,99.0,4.4,213.9072762395364,83.25422800222206,242000.0,Shooting Guard,1975-12-14,Left,1.5,363000.0,12.0
28,208.0,2.0,96.0,Austin Peay State University,34.0,1997.0,22.0,870.0,94.0,0.405,232.0,0.522,1667.0,433.0,0.747,580.0,105.0,78.41655801825294,3338.0,31.8,Bubba Wells,1.0,4.0,11.1,2267.0,21.6,104.5220836660855,19.0,139.0,6.9,213.9072762395364,83.25422800222206,260000.0,Shooting Guard,1974-07-26,Right,1.5,390000.0,7.0
29,68.0,0.6,103.0,"California State University, Bakersfield",35.0,1997.0,23.0,685.0,1.0,0.32657555501870233,6.0,0.5429999999999999,1262.0,691.0,0.6759999999999999,1022.0,106.0,78.5,3570.0,33.7,Kebu Stewart,1.0,4.0,14.0,2062.0,19.5,104.6311958652044,20.0,103.0,11.6,244.0,83.36146136968765,242000.0,Power Forward,1973-12-19,Right,1.5,363000.0,12.0
30,283.0,2.5,37.0,Florida State University,36.0,1997.0,23.0,645.0,255.0,0.3720000000000001,686.0,0.45,1433.0,248.0,0.679,365.0,112.0,78.41655801825294,3678.0,32.8,James Collins,1.0,4.0,15.3,1793.0,16.0,104.5220836660855,20.0,191.0,4.5,213.9072762395364,83.25422800222206,242000.0,Shooting Guard,1973-11-05,Right,1.5,363000.0,11.0
31,71.0,0.8,43.0,Temple University,37.0,1997.0,22.0,381.0,4.0,0.32657555501870233,10.0,0.475,802.0,293.0,0.7090000000000001,413.0,85.0,78.41655801825294,2595.0,30.5,Marc Jackson,1.0,3.0,14.1,1059.0,12.5,104.5220836660855,19.0,47.0,7.4,213.9072762395364,83.25422800222206,316969.0,Center and Power Forward,1975-01-16,Right,1.5,475453.5,1.0
32,419.0,3.4,163.0,Tulane University,38.0,1997.0,22.0,791.0,193.0,0.308,627.0,0.421,1880.0,434.0,0.672,646.0,125.0,78.75,4197.0,33.6,Jerald Honeycutt,1.0,4.0,10.6,2209.0,17.7,104.95801997871168,19.0,235.0,7.0,213.9072762395364,83.60491594320517,300000.0,Power Forward,1974-10-20,Right,1.5,450000.0,10.0
33,520.0,4.4,83.5224463240078,College of Charleston,39.0,1997.0,22.0,334.0,67.0,0.404,166.0,0.466,717.0,224.0,0.725,309.0,117.0,75.0,2810.0,24.0,Anthony Johnson,1.0,4.0,11.2,959.0,8.2,100.05565827610225,18.0,109.96103896103895,2.6,210.0,81.0,242000.0,Point Guard and Shooting Guard,1974-10-02,Right,1.5,363000.0,10.0
34,178.0,1.4,375.0,Villanova University,41.0,1997.0,22.0,534.0,0.0,0.32657555501870233,1.0,0.586,911.0,497.0,0.6920000000000001,718.0,131.0,78.41655801825294,3818.0,29.1,Jason Lawson,1.0,4.0,21.5,1565.0,11.9,104.5220836660855,19.0,97.0,6.9,213.9072762395364,83.25422800222206,242250.0,Center,1974-09-02,Right,1.5,363375.0,9.0
35,181.0,1.5,114.0,University of Memphis,44.0,1997.0,21.0,664.0,96.0,0.304,316.0,0.45,1477.0,273.0,0.629,434.0,123.0,78.41655801825294,3909.0,31.8,Cedric Henderson,1.0,4.0,9.2,1697.0,13.8,104.5220836660855,18.0,175.0,5.2,213.9072762395364,83.25422800222206,250000.0,Small Forward,1975-03-11,Right,1.5,375000.0,3.0
36,428.0,6.6,5.0,Providence College,45.0,1997.0,20.0,208.0,30.0,0.208,144.0,0.393,529.0,223.0,0.6759999999999999,330.0,65.0,78.41655801825294,2113.0,32.5,God Shammgod,1.0,2.0,9.2,669.0,10.3,104.5220836660855,19.0,130.0,2.0,213.9072762395364,83.25422800222206,242250.0,Point Guard,1976-04-29,Right,1.5,363375.0,4.0
37,107.0,1.0,61.0,University of Alabama,46.0,1997.0,22.0,531.0,262.0,0.386,678.0,0.435,1222.0,208.0,0.785,265.0,112.0,78.41655801825294,2868.0,25.6,Eric Washington,1.0,4.0,9.5,1532.0,13.7,104.5220836660855,19.0,140.0,5.0,213.9072762395364,83.25422800222206,242000.0,Shooting Guard,1974-03-23,Right,1.5,363000.0,3.0
38,553.0,4.2,38.0,Villanova University,47.0,1997.0,22.0,485.0,133.0,0.35,380.0,0.443,1094.0,320.0,0.726,441.0,131.0,78.41655801825294,3925.0,30.0,Alvin Williams,1.0,4.0,13.7,1423.0,10.9,104.5220836660855,19.0,200.0,3.7,213.9072762395364,83.25422800222206,242000.0,Point Guard and Shooting Guard,1974-08-06,Right,1.5,363000.0,8.0
39,93.0,0.8,43.0,Marquette University,50.0,1997.0,21.0,364.0,85.0,0.373,228.0,0.444,820.0,235.0,0.721,326.0,113.0,78.41655801825294,2486.0,22.0,Chris Crawford,1.0,4.0,12.9,1048.0,9.3,104.5220836660855,18.0,69.0,3.5,213.9072762395364,83.25422800222206,242000.0,Power Forward,1975-05-13,Right,1.5,363000.0,5.0
40,498.0,3.7,25.0,University of Louisville,51.0,1997.0,23.0,725.0,323.0,0.377,856.0,0.452,1603.0,410.0,0.755,543.0,136.0,78.41655801825294,4560.0,33.5,DeJuan Wheat,1.0,4.0,12.9,2183.0,16.1,104.5220836660855,20.0,204.0,2.6,213.9072762395364,83.25422800222206,242000.0,Point Guard,1973-10-14,Right,1.5,363000.0,10.0
41,39.0,0.7,105.0,University of Pittsburgh,54.0,1997.0,21.0,136.0,1.0,0.32657555501870233,2.0,0.466,292.0,87.0,0.518,168.0,56.0,78.41655801825294,1149.0,20.5,Mark Blount,1.0,2.0,12.5,360.0,6.4,104.5220836660855,20.0,28.0,5.0,213.9072762395364,83.25422800222206,316969.0,Center,1975-11-30,Right,1.5,475453.5,11.0
42,38.0,0.5,160.0,University of the Pacific,1.0,1998.0,22.0,444.0,0.0,0.32657555501870233,0.0,0.5920000000000001,750.0,153.0,0.466,328.0,77.0,83.75,690.0,15.7,Michael Olowokandi,1.0,3.0,10.7,1041.0,13.5,111.4945022488576,20.0,19.0,7.5,269.0,92.0,2700000.0,Center,1975-04-03,Right,1.47,3969000.0,4.0
43,375.0,5.4,14.0,University of Arizona,2.0,1998.0,19.0,360.0,144.0,0.39,369.0,0.456,789.0,197.0,0.73,270.0,69.0,73.0,1110.0,32.6,Mike Bibby,1.0,2.0,16.1,1061.0,15.4,97.44106536804392,18.0,160.0,3.1,194.0,78.00546075230238,2400000.0,Point Guard,1978-05-13,Right,1.47,3528000.0,5.0
44,86.0,0.7,138.0,University of Kansas,3.0,1998.0,21.0,825.0,13.0,0.371,35.0,0.555,1486.0,403.0,0.7120000000000001,566.0,131.0,83.5,2690.0,26.6,Raef LaFrentz,1.0,4.0,16.1,2066.0,15.8,111.16767813535029,18.0,98.0,9.1,235.0,88.2305528400379,2150000.0,Center and Power Forward,1976-05-29,Left,1.47,3160500.0,5.0
45,93.0,0.9,85.0,University of North Carolina,4.0,1998.0,21.0,787.0,8.0,0.29600000000000004,27.0,0.5770000000000001,1364.0,392.0,0.617,635.0,104.0,79.75,2251.0,33.6,Antawn Jamison,1.0,3.0,18.1,1974.0,19.0,106.26531643274087,19.0,93.0,9.9,230.0,84.5787342372752,1940000.0,Power Forward and Small Forward,1976-06-12,Right,1.47,2851800.0,6.0
46,197.0,1.9,80.0,University of North Carolina,5.0,1998.0,21.0,481.0,99.0,0.368,269.0,0.547,880.0,206.0,0.705,292.0,103.0,77.5,1492.0,23.0,Vince Carter,1.0,3.0,19.4,1267.0,12.3,103.32389941117522,19.0,114.0,4.5,219.0,82.38764307561759,1760000.0,Shooting Guard and Small Forward,1977-01-26,Right,1.47,2587200.0,1.0
47,133.0,1.5,97.0,University of Michigan,6.0,1998.0,20.0,496.0,0.0,0.32657555501870233,1.0,0.5660000000000001,877.0,218.0,0.545,400.0,91.0,79.5,1393.0,24.4,Robert Traylor,1.0,3.0,14.5,1210.0,13.3,105.93849231923357,18.0,103.0,8.2,288.0,84.3352796637577,1590000.0,Center and Power Forward,1977-02-01,Right,1.47,2337300.0,2.0
48,312.0,6.5,13.0,University of Florida,7.0,1998.0,22.0,256.0,89.0,0.394,226.0,0.483,530.0,115.0,0.7929999999999999,145.0,48.0,78.41655801825294,816.0,29.1,Jason Williams,1.0,2.0,14.2,716.0,14.9,104.5220836660855,20.0,103.0,3.3,213.9072762395364,83.25422800222206,1460000.0,Point Guard,1975-11-18,Right,1.47,2146200.0,11.0
49,77.0,2.4,13.0,Saint Louis University,8.0,1998.0,19.0,224.0,42.0,0.29,145.0,0.415,540.0,180.0,0.6920000000000001,260.0,32.0,76.5,954.2580333625999,29.10783950617286,Larry Hughes,1.0,1.0,14.9,670.0,20.9,102.01660295714605,19.0,69.0,5.1,183.0,81.41382478154755,1330000.0,Shooting Guard and Point Guard and Small Forward,1979-01-23,Right,1.47,1955100.0,1.0
50,236.0,2.2,98.0,University of Kansas,10.0,1998.0,20.0,645.0,108.0,0.355,304.0,0.481,1341.0,370.0,0.6970000000000001,531.0,108.0,78.0,1875.0,26.8,Paul Pierce,1.0,3.0,19.8,1768.0,16.4,103.97754763818979,18.0,147.0,6.3,229.0,82.87455222265262,1165000.0,Small Forward and Shooting Guard,1977-10-13,Right,1.47,1712550.0,10.0
51,386.0,3.3,92.0,Ball State University,11.0,1998.0,21.0,913.0,142.0,0.325,437.0,0.48,1902.0,517.0,0.6809999999999999,759.0,116.0,77.0,2697.0,31.0,Bonzi Wells,1.0,4.0,16.1,2485.0,21.4,102.67025118416063,18.0,347.0,7.3,213.0,81.90073392858258,1100000.0,Shooting Guard and Small Forward,1976-09-28,Right,1.47,1617000.0,9.0
52,74.0,0.6,124.0,University of Utah,12.0,1998.0,20.0,513.0,21.0,0.404,52.0,0.491,1044.0,472.0,0.784,602.0,131.0,78.41655801825294,2242.0,22.6,Michael Doleac,1.0,4.0,10.8,1519.0,11.6,104.5220836660855,17.0,71.0,6.8,213.9072762395364,83.25422800222206,1050000.0,Center,1977-06-15,Right,1.47,1543500.0,6.0
53,51.0,1.3,138.0,"University of Nevada, Las Vegas",13.0,1998.0,22.0,225.0,10.0,0.37,27.0,0.5539999999999999,406.0,118.0,0.638,185.0,39.0,82.5,816.0,28.1,Keon Clark,1.0,2.0,15.4,578.0,14.8,109.86038168132113,21.0,25.0,9.6,220.0,87.25673454596786,1000000.0,Center and Power Forward,1975-04-16,Left,1.47,1470000.0,4.0
54,190.0,1.5,24.0,University of Arizona,14.0,1998.0,22.0,668.0,153.0,0.3670000000000001,417.0,0.458,1460.0,302.0,0.728,415.0,130.0,78.41655801825294,2145.0,22.6,Michael Dickerson,1.0,4.0,13.4,1791.0,13.8,104.5220836660855,19.0,105.0,3.7,213.9072762395364,83.25422800222206,949600.0,Shooting Guard,1975-06-25,Right,1.47,1395912.0,6.0
55,289.0,2.3,29.0,Georgia Institute of Technology,15.0,1998.0,21.0,753.0,211.0,0.361,585.0,0.465,1621.0,508.0,0.753,675.0,124.0,78.5,3309.0,36.0,Matt Harpring,1.0,4.0,15.3,2225.0,17.9,104.6311958652044,18.0,178.0,8.0,231.0,83.36146136968765,900000.0,Small Forward and Shooting Guard,1976-05-31,Right,1.47,1323000.0,5.0
56,626.0,5.2,10.0,Valparaiso University,16.0,1998.0,23.0,696.0,364.0,0.435,837.0,0.449,1549.0,386.0,0.8340000000000001,463.0,121.0,74.0,3157.0,35.1,Bryce Drew,1.0,4.0,9.6,2142.0,17.7,98.7483618220731,20.0,186.0,3.1,187.0,78.97927904637244,857000.0,Point Guard,1974-09-21,Right,1.47,1259790.0,9.0
57,222.0,2.0,64.0,University of Notre Dame,19.0,1998.0,21.0,748.0,100.0,0.358,279.0,0.488,1534.0,489.0,0.747,655.0,111.0,81.0,2693.0,32.1,Pat Garrity,1.0,4.0,10.7,2085.0,18.8,107.89943700027737,18.0,84.0,7.0,237.0,85.79600710486278,740000.0,Power Forward and Small Forward,1976-08-23,Right,1.47,1087800.0,8.0
58,143.0,1.1,93.0,Duke University,20.0,1998.0,22.0,501.0,74.0,0.383,193.0,0.479,1045.0,277.0,0.735,377.0,126.0,80.0,1902.0,21.1,Roshown McLeod,1.0,4.0,10.1,1353.0,10.7,106.59214054624815,18.0,114.0,5.6,221.0,84.82218881079272,740000.0,Small Forward,1975-11-17,Right,1.47,1087800.0,11.0
59,74.0,2.4,10.0,University of Iowa,21.0,1998.0,18.0,173.0,28.0,0.308,91.0,0.466,371.0,90.0,0.698,129.0,31.0,77.5,929.0525519291676,29.10783950617286,Ricky Davis,1.0,1.0,14.7,464.0,15.0,103.32389941117522,18.0,38.0,4.8,201.0,82.38764307561759,680000.0,Shooting Guard and Small Forward,1979-09-23,Right,1.47,999600.0,9.0
60,66.0,0.6,346.0,Baylor University,22.0,1998.0,21.0,673.0,0.0,0.32657555501870233,0.0,0.575,1171.0,356.0,0.5579999999999999,638.0,103.0,81.0,2374.0,31.7,Brian Skinner,1.0,4.0,12.0,1702.0,16.5,107.89943700027737,18.0,116.0,8.9,255.0,85.79600710486278,653500.0,Power Forward and Center,1976-05-19,Right,1.47,960645.0,5.0
61,432.0,4.4,5.0,University of Nebraska,23.0,1998.0,20.0,560.0,145.0,0.35600000000000004,407.0,0.446,1255.0,312.0,0.7879999999999999,396.0,99.0,78.41655801825294,2183.0,32.6,Tyronn Lue,1.0,3.0,13.2,1577.0,15.9,104.5220836660855,18.0,154.0,3.4,213.9072762395364,83.25422800222206,287500.0,Point Guard,1977-05-03,Right,1.47,422625.0,5.0
62,274.0,2.4,63.0,St. John's University,24.0,1998.0,23.0,670.0,148.0,0.29600000000000004,500.0,0.415,1615.0,439.0,0.657,668.0,114.0,76.75,2826.0,34.5,Felipe Lopez,1.0,4.0,11.5,1927.0,16.9,102.3434270706533,20.0,135.0,5.8,198.0,81.65727935506506,600000.0,Shooting Guard and Point Guard,1974-12-19,Right,1.47,882000.0,12.0
63,216.0,1.7,23.0,University of Minnesota,26.0,1998.0,22.0,638.0,173.0,0.365,474.0,0.4370000000000001,1461.0,260.0,0.718,362.0,130.0,76.0,2289.0,23.4,Sam Jacobson,1.0,4.0,11.2,1709.0,13.1,101.36295473013143,19.0,131.0,4.8,219.0,80.92691563451253,559000.0,Point Guard,1975-07-22,Right,1.47,821730.0,7.0
64,87.0,1.8,29.0,Oregon State University,28.0,1998.0,19.0,306.0,64.0,0.305,210.0,0.491,623.0,163.0,0.688,237.0,48.0,77.5,601.0,26.1,Corey Benjamin,1.0,2.0,8.9,839.0,17.5,103.32389941117522,18.0,71.0,4.5,203.0,82.38764307561759,540000.0,Shooting Guard and Point Guard,1978-02-24,Right,1.47,793800.0,2.0
65,43.0,0.5,135.0,University of Kentucky,29.0,1998.0,20.0,335.0,0.0,0.32657555501870233,2.0,0.5529999999999999,606.0,144.0,0.581,248.0,94.0,82.0,705.0,12.8,Nazr Mohammed,1.0,3.0,15.0,814.0,8.7,109.2067334543065,18.0,73.0,5.7,221.0,86.76982539893282,535000.0,Center,1977-09-05,Right,1.47,786450.0,9.0
66,227.0,2.1,99.0,University of Mississippi,30.0,1998.0,21.0,487.0,61.0,0.268,228.0,0.428,1139.0,393.0,0.7240000000000001,543.0,110.0,80.0,2237.0,27.6,Ansu Sesay,1.0,4.0,11.1,1428.0,13.0,106.59214054624815,18.0,99.0,6.4,223.0,84.82218881079272,287500.0,Small Forward,1976-07-29,Left,1.47,422625.0,7.0
67,85.0,1.7,21.0,University of Cincinnati,31.0,1998.0,22.0,273.0,29.0,0.274,106.0,0.515,530.0,164.0,0.607,270.0,50.0,77.0,723.0,23.3,Ruben Patterson,1.0,2.0,17.1,739.0,14.8,102.67025118416063,21.0,57.0,5.9,224.0,81.90073392858258,628500.0,Small Forward and Shooting Guard,1975-07-31,Right,1.47,923895.0,7.0
68,89.0,1.1,188.0,"University of California, Los Angeles",33.0,1998.0,20.0,347.0,0.0,0.32657555501870233,0.0,0.6940000000000001,500.0,120.0,0.462,260.0,78.0,82.0,1767.0,28.0,Jelani McCoy,1.0,3.0,12.6,814.0,10.4,109.2067334543065,18.0,44.0,6.8,245.0,86.76982539893282,287500.0,Center,1977-12-06,Right,1.47,422625.0,12.0
69,399.0,3.0,2.0,University of North Carolina,34.0,1998.0,22.0,460.0,233.0,0.403,578.0,0.455,1012.0,292.0,0.8490000000000001,344.0,134.0,73.0,1941.0,20.2,Shammond Williams,1.0,4.0,13.3,1445.0,10.8,97.44106536804392,19.0,93.0,2.5,200.0,78.00546075230238,500000.0,Point Guard and Shooting Guard,1975-04-05,Right,1.47,735000.0,4.0
