,name,salary,position,birthday,shoot
84,Derrick Dial,301875.0,Shooting Guard,1975-12-20,Right
85,Greg Buckner,47647.0,Shooting Guard and Small Forward,1976-09-16,Right
86,Tremaine Fowlkes,512435.0,Small Forward,1976-04-11,Right
87,Ryan Bowen,301875.0,Small Forward and Power Forward and Shooting Guard,1975-11-20,Right
88,J.R. Henderson,287500.0,Small Forward,1976-10-30,Right
89,Torraye Braggs,316969.0,Power Forward,1976-05-15,Right
90,Maceo Baston,20000.0,Power Forward,1975-05-29,Right
91,Elton Brand,3375960.0,Power Forward and Center,1979-03-11,Right
92,Steve Francis,3020520.0,Point Guard and Shooting Guard,1977-02-21,Right
93,Baron Davis,2712480.0,Point Guard,1979-04-13,Right
94,Lamar Odom,2445480.0,Power Forward and Small Forward,1979-11-06,Left
95,Wally Szczerbiak,2011440.0,Small Forward,1977-03-05,Right
96,Richard Hamilton,1836240.0,Shooting Guard and Small Forward,1978-02-14,Right
97,Andre Miller,1682280.0,Point Guard and Shooting Guard,1976-03-19,Right
98,Shawn Marion,1546320.0,Small Forward and Power Forward,1978-05-07,Right
99,Jason Terry,1468920.0,Shooting Guard and Point Guard,1977-09-15,Right
100,Trajan Langdon,1394280.0,Shooting Guard,1976-05-13,Right
101,Aleksandar Radojevic,1325760.0,Center,1976-08-08,Right
102,Corey Maggette,1259400.0,Small Forward and Shooting Guard and Power Forward,1979-11-12,Right
103,William Avery,1196520.0,Point Guard,1979-08-08,Right
104,Metta World Peace,1079760.0,Small Forward,1979-11-13,Right
105,Cal Bowdler,1025880.0,Small Forward and Power Forward,1977-03-31,Right
106,James Posey,974520.0,Small Forward and Shooting Guard and Power Forward,1977-01-13,Right
107,Quincy Lewis,930720.0,Small Forward and Shooting Guard,1977-06-26,Right
108,Dion Glover,893400.0,Shooting Guard,1978-10-22,Right
109,Jeff Foster,857760.0,Center,1977-01-16,Right
110,Kenny Thomas,823440.0,Power Forward,1977-07-25,Right
111,Devean George,790440.0,Small Forward,1977-08-29,Right
112,Tim James,728520.0,Small Forward,1976-12-26,Right
113,Vonteego Cummings,704400.0,Point Guard,1976-02-29,Right
114,Jumaine Jones,684000.0,Small Forward and Power Forward and Shooting Guard,1979-02-10,Right
115,Scott Padgett,679800.0,Power Forward,1976-04-19,Right
116,John Celestand,301875.0,Point Guard,1977-03-06,Right
117,Michael Ruffin,401875.0,Power Forward and Center,1977-01-21,Right
118,Chris Herren,301875.0,Point Guard,1975-09-27,Right
119,Evan Eschmeyer,301875.0,Center,1975-05-30,Right
120,Calvin Booth,301875.0,Center,1976-05-07,Left
121,Obinna Ekezie,301875.0,Power Forward and Center,1975-08-22,Right
122,Laron Profit,301875.0,Shooting Guard and Small Forward and Point Guard,1977-08-05,Right
123,A.J. Bramlett,118974.0,Center,1977-01-10,Right
124,Francisco Elson,366931.0,Center,1976-02-28,Right
125,Lee Nailon,316969.0,Small Forward and Power Forward,1975-02-22,Left
126,Ryan Robertson,301875.0,Shooting Guard,1976-10-02,Right
127,Todd MacCulloch,301875.0,Center,1976-01-27,Right
128,Lari Ketner,92338.0,Power Forward,1977-02-01,Right
129,Venson Hamilton,,Center,1977-08-11,Right
130,Rodney Buford,301875.0,Small Forward and Shooting Guard,1977-11-02,Right
131,Tim Young,301875.0,Center,1976-02-06,Right
132,Kenyon Martin,3536640.0,Power Forward and Center,1977-12-30,Right
133,Stromile Swift,3164280.0,Power Forward and Center,1979-11-21,Right
134,Marcus Fizer,2562000.0,Power Forward and Small Forward,1978-08-10,Right
135,Mike Miller,2320080.0,Small Forward and Shooting Guard,1980-02-19,Right
136,DerMarr Johnson,2107200.0,Small Forward and Shooting Guard,1980-05-05,Right
137,Chris Mihm,1923600.0,Center and Power Forward,1979-07-16,Right
138,Jamal Crawford,1762320.0,Shooting Guard and Point Guard,1980-03-20,Right
139,Joel Przybilla,1619880.0,Center,1979-10-10,Right
140,Keyon Dooling,1538880.0,Point Guard and Shooting Guard,1980-05-08,Right
141,Jerome Moiso,1461960.0,Center and Power Forward,1978-06-15,Left
142,Etan Thomas,1388880.0,Center and Power Forward,1978-04-01,Right
143,Courtney Alexander,1319400.0,Point Guard and Shooting Guard,1977-04-27,Right
144,Mateen Cleaves,1253400.0,Point Guard,1977-09-07,Right
145,Jason Collier,1190760.0,Center,1977-09-08,Left
146,Desmond Mason,1074720.0,Small Forward and Shooting Guard,1977-10-11,Right
147,Quentin Richardson,1020960.0,Small Forward and Shooting Guard,1980-04-13,Right
148,Jamaal Magloire,975000.0,Center,1978-05-21,Right
149,Speedy Claxton,936000.0,Point Guard,1978-05-08,Right
150,Morris Peterson,898560.0,Shooting Guard and Small Forward,1977-08-26,Left
151,Donnell Harvey,862560.0,Power Forward and Small Forward,1980-08-26,Left
152,Mamadou N'Diaye,737880.0,Center,1975-06-16,Right
153,Erick Barkley,712200.0,Point Guard,1978-02-21,Right
154,Mark Madsen,707040.0,Center and Power Forward,1976-01-28,Right
155,Dan Langhi,316969.0,Small Forward,1977-11-28,Right
156,A.J. Guyton,316969.0,Point Guard,1978-02-12,Right
157,Jake Voskuhl,316969.0,Center,1977-11-01,Right
158,Khalid El-Amin,316969.0,Point Guard,1979-04-25,Right
159,Mike Smith,316969.0,Small Forward,1976-04-15,Right
160,Eddie House,316969.0,Point Guard and Shooting Guard,1978-05-14,Right
161,Eduardo Najera,316969.0,Power Forward and Small Forward,1976-07-11,Right
162,Lavor Postell,316969.0,Shooting Guard,1978-02-26,Right
163,Hanno Mottola,316969.0,Center and Small Forward,1976-09-09,Right
164,Michael Redd,316969.0,Shooting Guard and Small Forward,1979-08-24,Left
165,Brian Cardinal,316969.0,Power Forward and Small Forward,1977-05-02,Right
166,Jabari Smith,316969.0,Center and Power Forward,1977-02-12,Right
167,Jason Hart,316969.0,Point Guard,1978-04-29,Right
168,Kaniel Dickens,264011.0,Power Forward and Small Forward,1978-07-21,Right
169,Ernest Brown,332817.0,Center,1979-05-17,Right
170,Dan McClintock,,Center,1977-04-19,Right
171,Chris Porter,316969.0,Small Forward,1978-05-09,Right
172,Jason Richardson,2425440.0,Shooting Guard and Small Forward,1981-01-20,Right
173,Shane Battier,2203080.0,Small Forward and Shooting Guard,1978-09-09,Right
174,Eddie Griffin,2011080.0,Power Forward and Center,1982-05-30,Right
175,Rodney White,1693560.0,Small Forward and Shooting Guard,1980-06-28,Right
176,Joe Johnson,1608840.0,Shooting Guard and Small Forward,1981-06-29,Right
177,Kedrick Brown,1528440.0,Small Forward,1981-03-18,Right
178,Richard Jefferson,1379400.0,Small Forward,1980-06-21,Right
179,Troy Murphy,1310400.0,Power Forward,1980-05-02,Left
180,Steven Hunter,1244880.0,Center and Power Forward,1981-10-31,Right
181,Kirk Haston,1182600.0,Small Forward and Power Forward,1979-03-10,Right
182,Michael Bradley,1123560.0,Power Forward and Center,1979-04-18,Right
183,Jason Collins,1067400.0,Center and Power Forward,1978-12-02,Right
184,Zach Randolph,1019280.0,Power Forward and Center,1981-07-16,Left
185,Brendan Haywood,978600.0,Center,1979-11-27,Right
186,Joseph Forte,939360.0,Shooting Guard,1981-03-23,Right
187,Jeryl Sasser,901800.0,Shooting Guard,1979-02-13,Right
188,Brandon Armstrong,865800.0,Shooting Guard,1980-06-16,Left
189,Gerald Wallace,797880.0,Small Forward and Power Forward,1982-07-23,Right
190,Samuel Dalembert,771480.0,Center,1981-05-10,Right
191,Jamaal Tinsley,749160.0,Point Guard,1978-02-28,Right
192,Trenton Hassell,332817.0,Shooting Guard and Small Forward,1979-03-04,Right
193,Gilbert Arenas,332817.0,Point Guard,1982-01-06,Right
194,Omar Cook,292230.0,Point Guard,1982-01-28,Right
195,Will Solomon,332817.0,Point Guard and Shooting Guard,1978-07-20,Right
196,Terence Morris,420000.0,Small Forward,1979-01-11,Right
197,Brian Scalabrine,332817.0,Power Forward and Center,1978-03-18,Right
198,Jeff Trepagnier,332817.0,Shooting Guard,1979-07-11,Left
199,Damone Brown,332817.0,Small Forward and Power Forward,1979-06-28,Right
200,Earl Watson,332817.0,Point Guard,1979-06-12,Right
201,Jamison Brewer,332817.0,Point Guard and Shooting Guard,1980-11-19,Right
202,Bobby Simmons,332817.0,Small Forward and Shooting Guard and Power Forward,1980-06-02,Right
203,Sean Lampley,349458.0,Small Forward,1979-09-03,Right
204,Loren Woods,332817.0,Center,1978-06-21,Right
205,Ken Johnson,349458.0,Center,1978-02-01,Right
206,Ruben Boumtje-Boumtje,332817.0,Center,1978-05-20,Right
207,Alton Ford,332817.0,Power Forward,1981-05-29,Right
208,Jarron Collins,332817.0,Center,1978-12-02,Right
209,Kenny Satterfield,332817.0,Point Guard,1981-04-10,Right
210,Alvin Jones,332817.0,Center,1978-09-09,Right
211,Jay Williams,3451920.0,Point Guard,1981-09-10,Right
212,Mike Dunleavy,3100080.0,Small Forward and Shooting Guard and Power Forward,1980-09-15,Right
213,Drew Gooden,2794920.0,Power Forward and Center and Small Forward,1981-09-24,Right
214,Dajuan Wagner,2298840.0,Shooting Guard,1983-02-04,Right
215,Chris Wilcox,1922520.0,Center and Power Forward,1982-09-03,Right
216,Caron Butler,1678800.0,Small Forward and Shooting Guard,1980-03-13,Right
217,Jared Jeffries,1594920.0,Power Forward and Small Forward,1981-11-25,Right
218,Melvin Ely,1490120.0,Center and Power Forward,1978-05-02,Right
219,Marcus Haislip,1439400.0,Power Forward and Small Forward,1980-12-22,Right
220,Fred Jones,1367400.0,Shooting Guard and Small Forward,1979-03-11,Right
221,Juan Dixon,1172400.0,Shooting Guard and Point Guard,1978-10-09,Right
222,Curtis Borchardt,1113720.0,Center,1980-09-13,Right
223,Ryan Humphrey,1063680.0,Power Forward and Small Forward,1979-07-24,Right
224,Kareem Rush,1021080.0,Shooting Guard and Point Guard,1980-10-30,Left
225,Qyntel Woods,980280.0,Small Forward and Power Forward,1981-02-16,Right
226,Casey Jacobsen,941040.0,Small Forward and Shooting Guard,1981-03-19,Right
227,Tayshaun Prince,903360.0,Small Forward,1980-02-28,Left
228,Frank Williams,832560.0,Point Guard and Shooting Guard,1980-02-25,Right
229,John Salmons,670800.0,Shooting Guard and Small Forward and Point Guard,1979-12-12,Right
230,Chris Jefferies,781800.0,Small Forward and Shooting Guard,1980-02-13,Right
231,Dan Dickau,776880.0,Point Guard,1978-09-16,Right
232,Roger Mason,349458.0,Shooting Guard and Point Guard and Small Forward,1980-09-10,Right
233,Robert Archibald,349458.0,Power Forward and Center,1980-03-29,Right
234,Vincent Yarbrough,349458.0,Shooting Guard,1981-03-21,Right
235,Dan Gadzuric,349458.0,Center and Power Forward,1978-02-02,Right
236,Carlos Boozer,349458.0,Power Forward and Center,1981-11-20,Right
237,Tito Maddox,349458.0,Shooting Guard,1981-06-07,Right
238,Ronald Murray,349458.0,Shooting Guard and Point Guard,1979-07-29,Right
239,Lonny Baxter,349458.0,Power Forward and Center,1979-01-27,Right
240,Matt Barnes,695046.0,Small Forward and Power Forward,1980-03-09,Right
241,Jamal Sampson,349458.0,Power Forward and Center,1983-05-15,Right
242,Chris Owens,349458.0,Small Forward,1979-03-01,Right
243,Darius Songaila,366931.0,Center and Power Forward,1978-02-14,Right
244,Rasual Butler,349458.0,Small Forward and Shooting Guard,1979-05-23,Right
245,Tamar Slay,349458.0,Shooting Guard,1980-04-02,Right
246,Randy Holcomb,52033.0,Small Forward,1979-08-08,Left
247,Corsley Edwards,319498.0,Center,1979-03-05,Right
248,Carmelo Anthony,3229200.0,Small Forward and Power Forward,1984-05-29,Right
249,Chris Bosh,2911320.0,Center and Power Forward,1984-03-24,Left
250,Dwyane Wade,2636400.0,Shooting Guard and Point Guard,1982-01-17,Right
251,Chris Kaman,2394600.0,Center,1982-04-28,Right
252,Kirk Hinrich,2185920.0,Point Guard and Shooting Guard,1981-01-02,Right
253,T.J. Ford,2002680.0,Point Guard,1983-03-24,Right
254,Mike Sweetney,1840800.0,Center and Power Forward,1982-10-25,Right
255,Jarvis Hayes,1748760.0,Small Forward and Shooting Guard,1981-08-09,Right
256,Nick Collison,1578240.0,Power Forward and Center,1980-10-26,Right
257,Marcus Banks,1499400.0,Point Guard,1981-11-19,Right
258,Luke Ridnour,1424400.0,Point Guard and Shooting Guard,1981-02-13,Right
259,Reece Gaines,1353120.0,Point Guard,1981-01-07,Right
260,Troy Bell,1285440.0,Point Guard,1980-11-10,Right
261,David West,1160160.0,Power Forward and Small Forward,1980-08-29,Right
262,Dahntay Jones,1063680.0,Small Forward and Shooting Guard,1980-12-27,Right
263,Brian Cook,903360.0,Power Forward and Center,1980-12-04,Right
264,Josh Howard,773400.0,Small Forward,1980-04-28,Right
265,Jason Kapono,366931.0,Small Forward and Shooting Guard,1981-02-04,Right
266,Luke Walton,366931.0,Small Forward and Power Forward,1980-03-28,Right
267,Jerome Beasley,366931.0,Power Forward,1980-05-17,Right
268,Mario Austin,,Forward/Center,1982-02-26,Right
269,Travis Hansen,366931.0,Small Forward,1978-04-15,Right
270,Steve Blake,366931.0,Point Guard,1980-02-26,Right
271,Derrick Zimmerman,,Point Guard,1981-12-02,Right
272,Willie Green,366931.0,Shooting Guard,1981-07-28,Right
273,Keith Bogans,366931.0,Shooting Guard and Small Forward,1980-05-12,Right
274,Matt Bonner,385277.0,Power Forward and Center,1980-04-05,Right
275,Mo Williams,366931.0,Point Guard and Shooting Guard,1982-12-19,Right
276,James Jones,366931.0,Small Forward and Shooting Guard,1980-10-04,Right
277,Kyle Korver,366931.0,Shooting Guard and Small Forward and Power Forward,1981-03-17,Right
278,Brandon Hunter,366931.0,Power Forward,1980-11-24,Right
279,Emeka Okafor,3739680.0,Center and Power Forward,1982-09-28,Right
280,Ben Gordon,3358320.0,Shooting Guard,1983-04-04,Right
281,Devin Harris,2741880.0,Point Guard and Shooting Guard,1983-02-27,Right
282,Josh Childress,2490360.0,Small Forward and Shooting Guard,1983-06-20,Right
283,Luol Deng,2273400.0,Small Forward and Power Forward,1985-04-16,Right
284,Rafael Araujo,2082720.0,Center,1980-08-12,Right
285,Andre Iguodala,1914480.0,Small Forward and Shooting Guard,1984-01-28,Right
286,Luke Jackson,1818720.0,Small Forward,1981-11-06,Left
287,Kris Humphries,1481400.0,Power Forward and Small Forward,1985-02-06,Right
288,Kirk Snyder,1336920.0,Small Forward and Shooting Guard and Power Forward,1983-06-05,Right
289,Jameer Nelson,1106160.0,Point Guard,1982-02-09,Right
290,Delonte West,939480.0,Point Guard and Shooting Guard,1983-07-26,Left
291,Tony Allen,901920.0,Shooting Guard and Point Guard,1982-01-11,Right
292,Kevin Martin,872040.0,Shooting Guard and Point Guard,1983-02-01,Right
293,David Harrison,835560.0,Center,1982-08-15,Right
294,Jackson Vroman,385277.0,Power Forward and Center,1981-06-06,Right
295,Lionel Chalmers,450000.0,Point Guard,1980-11-10,Right
296,Donta Smith,425000.0,Shooting Guard,1983-11-27,Right
297,Andre Emmett,385277.0,Shooting Guard and Small Forward,1982-08-27,Right
298,Antonio Burks,385277.0,Point Guard,1980-02-25,Right
299,Royal Ivey,425000.0,Shooting Guard and Point Guard,1981-12-20,Right
300,Chris Duhon,385277.0,Point Guard,1982-08-31,Right
301,Justin Reed,385277.0,Small Forward and Power Forward,1982-01-16,Right
302,Trevor Ariza,385277.0,Small Forward and Shooting Guard,1985-06-30,Right
303,Bernard Robinson,385277.0,Shooting Guard and Small Forward,1980-12-26,Left
304,Pape Sow,385277.0,Center,1981-11-22,Right
305,Matt Freije,352388.0,Power Forward,1981-10-02,Right
306,Luis Flores,385277.0,Point Guard,1981-04-11,Right
307,Andrew Bogut,4340520.0,Center and Power Forward,1984-11-28,Right
308,Marvin Williams,3883560.0,Power Forward and Small Forward,1986-06-19,Right
309,Deron Williams,3487400.0,Point Guard,1984-06-26,Right
310,Chris Paul,3144240.0,Point Guard,1985-05-06,Right
311,Raymond Felton,2847360.0,Point Guard and Shooting Guard,1984-06-26,Right
312,Charlie Villanueva,2360880.0,Power Forward,1984-08-24,Right
313,Channing Frye,2162880.0,Power Forward and Center,1983-05-17,Right
314,Ike Diogu,1988160.0,Power Forward,1983-09-11,Right
315,Sean May,1619280.0,Power Forward and Center,1984-04-04,Right
316,Rashad McCants,1538400.0,Shooting Guard,1984-09-25,Right
317,Antoine Wright,1461360.0,Shooting Guard and Small Forward,1984-02-06,Right
318,Joey Graham,1388400.0,Small Forward,1982-06-11,Right
319,Danny Granger,1318920.0,Small Forward,1983-04-20,Right
320,Hakim Warrick,1196520.0,Power Forward,1982-07-08,Right
321,Julius Hodge,1148760.0,Shooting Guard,1983-11-18,Right
322,Nate Robinson,1102680.0,Point Guard,1984-05-31,Right
323,Jarrett Jack,1058640.0,Point Guard and Shooting Guard,1983-10-28,Right
324,Francisco Garcia,1016400.0,Small Forward and Shooting Guard,1981-12-31,Right
325,Luther Head,975600.0,Shooting Guard and Point Guard,1982-11-26,Right
326,Jason Maxiell,905640.0,Power Forward and Center,1983-02-18,Right
327,Linas Kleiza,879360.0,Small Forward and Power Forward,1985-01-03,Right
328,Wayne Simien,867720.0,Power Forward,1983-03-09,Right
329,David Lee,861360.0,Power Forward and Center and Small Forward,1983-04-29,Left
330,Salim Stoudamire,675000.0,Shooting Guard and Point Guard,1982-10-11,Left
331,Daniel Ewing,450000.0,Point Guard and Shooting Guard,1983-03-26,Right
332,Brandon Bass,398762.0,Power Forward and Center,1985-04-30,Right
333,Ronny Turiaf,664209.0,Center,1983-01-13,Right
334,Travis Diener,398762.0,Point Guard,1982-03-01,Right
335,Von Wafer,398762.0,Shooting Guard and Small Forward,1985-07-21,Right
336,Chris Taft,423762.0,Center,1985-03-10,Right
337,Bracey Wright,398762.0,Shooting Guard,1984-07-01,Right
338,Ryan Gomes,428762.0,Small Forward and Power Forward,1982-09-01,Right
339,Robert Whaley,398762.0,Center,1982-04-16,Right
340,Orien Greene,398762.0,Shooting Guard and Point Guard,1982-02-04,Right
341,Dijon Thompson,398762.0,Shooting Guard and Small Forward,1983-02-23,Right
342,Lawrence Roberts,398762.0,Center and Power Forward,1982-10-20,Right
343,Alex Acker,398762.0,Shooting Guard,1983-01-21,Right
344,LaMarcus Aldridge,4027320.0,Power Forward and Center,1985-07-19,Right
345,Adam Morrison,3616680.0,Small Forward and Power Forward,1984-07-19,Right
346,Tyrus Thomas,3260760.0,Power Forward and Center,1986-08-17,Right
347,Shelden Williams,2952840.0,Power Forward and Center,1983-10-21,Right
348,Brandon Roy,2681880.0,Shooting Guard,1984-07-23,Right
349,Randy Foye,2448240.0,Shooting Guard and Point Guard,1983-09-24,Right
350,Rudy Gay,2242290.0,Small Forward,1986-08-17,Right
351,Patrick O'Bryant,2061720.0,Center,1986-06-20,Right
352,J.J. Redick,1860720.0,Shooting Guard and Point Guard,1984-06-24,Right
353,Hilton Armstrong,1767600.0,Center and Power Forward,1984-11-11,Right
354,Ronnie Brewer,1595400.0,Shooting Guard and Small Forward,1985-03-20,Right
355,Cedric Simmons,1515480.0,Power Forward,1986-01-03,Right
356,Rodney Carney,1439760.0,Small Forward and Shooting Guard,1984-04-15,Right
357,Shawne Williams,1367760.0,Small Forward and Power Forward and Shooting Guard,1986-02-16,Right
358,Quincy Douby,1240920.0,Point Guard,1984-05-16,Right
359,Renaldo Balkman,1191240.0,Small Forward and Power Forward,1984-07-14,Right
360,Rajon Rondo,1143600.0,Point Guard,1986-02-22,Right
361,Marcus Williams,1097880.0,Point Guard,1985-12-03,Left
362,Josh Boone,1053960.0,Power Forward and Center,1984-11-21,Right
363,Kyle Lowry,1011720.0,Point Guard,1986-03-25,Right
364,Shannon Brown,971280.0,Shooting Guard,1985-11-29,Right
365,Jordan Farmar,939120.0,Point Guard,1986-11-30,Right
366,Maurice Ager,906480.0,Shooting Guard,1984-02-09,Right
367,Mardy Collins,899880.0,Shooting Guard and Point Guard and Small Forward,1984-08-04,Right
368,James White,412718.0,Small Forward and Shooting Guard,1982-10-21,Right
369,Steve Novak,600000.0,Small Forward and Power Forward,1983-06-13,Right
370,Solomon Jones,675000.0,Power Forward and Center,1984-07-16,Right
371,Paul Davis,412718.0,Power Forward and Center,1984-07-21,Right
372,P.J. Tucker,412718.0,Small Forward and Shooting Guard,1985-05-05,Right
373,Craig Smith,412718.0,Power Forward,1983-11-10,Right
374,Bobby Jones,412718.0,Small Forward and Center,1984-01-09,Right
375,David Noel,412718.0,Power Forward,1984-02-27,Right
376,James Augustine,412718.0,Power Forward,1984-02-27,Left
377,Daniel Gibson,412718.0,Point Guard and Shooting Guard,1986-02-27,Right
378,Alexander Johnson,412718.0,Power Forward,1983-02-08,Right
379,Dee Brown,412718.0,Point Guard,1984-08-17,Right
380,Paul Millsap,625000.0,Power Forward,1985-02-10,Right
381,Leon Powe,432000.0,Center and Power Forward and Small Forward,1984-01-22,Right
382,Ryan Hollins,412718.0,Center and Power Forward,1984-10-10,Right
383,Guillermo Diaz,56065.0,Shooting Guard,1985-03-04,Right
384,Hassan Adams,412718.0,Shooting Guard,1984-06-20,Right
385,Will Blalock,412718.0,Point Guard,1983-09-08,Right
386,Greg Oden,4662000.0,Center,1988-01-22,Right
387,Kevin Durant,4171200.0,Small Forward and Shooting Guard,1988-09-29,Right
388,Al Horford,3745800.0,Center,1986-06-03,Right
389,Mike Conley,3377160.0,Point Guard,1987-10-11,Left
390,Jeff Green,3058200.0,Small Forward and Power Forward,1986-08-28,Right
391,Corey Brewer,2535720.0,Small Forward and Shooting Guard,1986-03-05,Right
392,Brandan Wright,2323080.0,Power Forward and Center,1987-10-05,Left
393,Joakim Noah,2135400.0,Center,1985-02-25,Right
394,Spencer Hawes,2028600.0,Center and Power Forward,1988-04-28,Right
395,Acie Law,1927080.0,Point Guard,1985-01-25,Right
396,Thaddeus Young,1830720.0,Power Forward,1988-06-21,Left
397,Julian Wright,1739160.0,Small Forward,1987-05-20,Right
398,Al Thornton,1652280.0,Small Forward and Power Forward,1983-12-07,Right
399,Rodney Stuckey,1569600.0,Point Guard and Shooting Guard,1986-04-21,Right
